"region","species_name","species_qualified","cuid","cu_name_pse","year","estimated_count","observed_count","source_id"
"Fraser","Steelhead","SH",781,"Thompson Summer",2024,186,372,"Bison_20240729"
"Fraser","Steelhead","SH",781,"Thompson Summer",2025,384,768,"Bison_20250908"
"Fraser","Steelhead","SH",781,"Thompson Summer",2026,132,264,"Bison_20260729"
"Fraser","Steelhead","SH",784,"Lower Fraser Summer",1974,NA,117,NA
"Fraser","Steelhead","SH",784,"Lower Fraser Summer",1975,NA,190,NA
"Fraser","Steelhead","SH",784,"Lower Fraser Summer",1976,NA,133,NA
"Fraser","Steelhead","SH",784,"Lower Fraser Summer",1977,NA,160,NA
"Fraser","Steelhead","SH",784,"Lower Fraser Summer",1978,NA,170,NA
"Fraser","Steelhead","SH",784,"Lower Fraser Summer",1979,NA,216,NA
"Fraser","Steelhead","SH",784,"Lower Fraser Summer",1980,NA,402,NA
"Fraser","Steelhead","SH",784,"Lower Fraser Summer",1981,NA,300,NA
"Fraser","Steelhead","SH",784,"Lower Fraser Summer",1982,NA,300,NA
"Fraser","Steelhead","SH",784,"Lower Fraser Summer",1983,NA,289,NA
"Fraser","Steelhead","SH",784,"Lower Fraser Summer",1984,NA,475,NA
"Fraser","Steelhead","SH",784,"Lower Fraser Summer",1985,NA,233,NA
"Fraser","Steelhead","SH",784,"Lower Fraser Summer",1986,NA,525,NA
"Fraser","Steelhead","SH",784,"Lower Fraser Summer",1987,NA,525,NA
"Fraser","Steelhead","SH",784,"Lower Fraser Summer",1988,NA,381,NA
"Fraser","Steelhead","SH",784,"Lower Fraser Summer",1989,NA,207,NA
"Fraser","Steelhead","SH",784,"Lower Fraser Summer",1990,NA,117,NA
"Fraser","Steelhead","SH",784,"Lower Fraser Summer",1992,NA,75,NA
"Fraser","Steelhead","SH",784,"Lower Fraser Summer",1993,NA,47,NA
"Fraser","Steelhead","SH",784,"Lower Fraser Summer",1994,NA,218,NA
"Fraser","Steelhead","SH",784,"Lower Fraser Summer",1995,NA,125,NA
"Fraser","Steelhead","SH",784,"Lower Fraser Summer",1996,NA,581,NA
"Fraser","Steelhead","SH",784,"Lower Fraser Summer",1997,NA,220,NA
"Fraser","Steelhead","SH",784,"Lower Fraser Summer",1998,NA,288,NA
"Fraser","Steelhead","SH",784,"Lower Fraser Summer",1999,NA,80,NA
"Fraser","Steelhead","SH",784,"Lower Fraser Summer",2000,NA,270,NA
